# quat,tx,ty,tz,qw,qx,qy,qz
quat,-4.20423,-6.90312,0.0541561,0.661245,0.181598,0.181159,-0.704953
quat,-4.2724,-6.99602,-0.0274553,0.657938,0.177079,0.168952,-0.712191
quat,-4.27855,-7.00757,-0.0449812,0.6555,0.183819,0.172668,-0.71184
quat,-4.28328,-7.02969,-0.0664111,0.653646,0.186073,0.174004,-0.712633
quat,-4.28613,-7.0595,-0.0878415,0.65333,0.184372,0.171361,-0.714004
quat,-4.28768,-7.09463,-0.107769,0.653867,0.181766,0.166227,-0.715393
quat,-4.38424,-7.52825,-0.257007,0.653606,0.157046,0.158468,-0.723204
quat,-4.37448,-7.56393,-0.254303,0.655752,0.16468,0.153392,-0.720653
quat,-4.35109,-7.60403,-0.249446,0.65759,0.192432,0.152084,-0.712331
quat,-4.34528,-7.62343,-0.247624,0.656375,0.206827,0.156062,-0.708547
quat,-4.35092,-7.64988,-0.24715,0.654511,0.212677,0.162435,-0.707106
quat,-4.4003,-8.07131,-0.0504877,0.680513,0.179783,0.132706,-0.697832
quat,-4.42259,-8.08868,-0.0123453,0.68048,0.173499,0.143111,-0.697398
quat,-4.45257,-8.09757,0.0133178,0.679428,0.163315,0.15847,-0.697562
quat,-4.47641,-8.10076,0.0296595,0.679233,0.156748,0.171238,-0.69624
quat,-4.48993,-8.10092,0.0446706,0.680582,0.154654,0.181113,-0.692884
quat,-4.48825,-8.10408,0.0665421,0.683245,0.159469,0.182176,-0.688881
quat,-4.47764,-8.1111,0.0841829,0.685948,0.164379,0.174887,-0.686927
quat,-4.46391,-8.12214,0.104028,0.689942,0.168347,0.163003,-0.684887
quat,-4.44097,-8.14706,0.163953,0.70253,0.171605,0.129475,-0.67841
quat,-4.64259,-8.0815,0.017216,0.700647,0.171404,0.172141,-0.670881
quat,-4.73732,-8.64375,-0.274723,0.727641,0.173246,0.176087,-0.639935
quat,-4.74991,-8.70159,-0.258266,0.730044,0.165911,0.178372,-0.638508
quat,-4.76498,-8.7619,-0.242316,0.732217,0.154789,0.179697,-0.638442
quat,-4.78077,-8.82388,-0.227352,0.734284,0.143679,0.181959,-0.638024
quat,-4.79029,-8.87253,-0.219352,0.736619,0.139133,0.184452,-0.63562
quat,-4.79121,-8.91636,-0.212029,0.739016,0.142894,0.187131,-0.631204
quat,-4.78345,-8.95199,-0.204986,0.741042,0.151849,0.188225,-0.626395
quat,-4.77217,-8.99419,-0.192329,0.743357,0.160605,0.187128,-0.62178
quat,-4.76578,-9.0415,-0.177349,0.745774,0.161695,0.184883,-0.619269
quat,-4.61845,-9.41308,0.00544043,0.760544,0.163316,0.163014,-0.6069
quat,-4.6191,-9.44049,0.0339237,0.758009,0.160727,0.166028,-0.609937
quat,-4.61281,-9.68642,0.11564,0.761502,0.159043,0.158931,-0.607916
quat,-4.76562,-9.8255,0.0552328,0.733691,0.132186,0.1861,-0.639993
quat,-4.77948,-9.82531,0.0354266,0.725701,0.143814,0.191988,-0.644838
quat,-4.78265,-9.81924,0.0109177,0.716962,0.16011,0.197901,-0.648973
quat,-4.76036,-9.92449,-0.106834,0.68923,0.19272,0.176383,-0.675803
quat,-4.77736,-10.0222,-0.139108,0.684751,0.183486,0.153689,-0.688352
quat,-4.80362,-10.0541,-0.15317,0.680611,0.181625,0.155588,-0.692512
quat,-4.83554,-10.0759,-0.169635,0.674432,0.182818,0.165266,-0.695993
quat,-4.86776,-10.0948,-0.187309,0.667204,0.185894,0.177917,-0.699019
quat,-4.89596,-10.1208,-0.206013,0.66034,0.189255,0.187751,-0.702056
quat,-4.9193,-10.1605,-0.224518,0.655235,0.19077,0.191012,-0.705541
quat,-4.95029,-10.8252,-0.183258,0.654531,0.180771,0.132933,-0.721969
quat,-4.95622,-10.8583,-0.157232,0.655696,0.179654,0.136979,-0.720433
quat,-4.96362,-10.8831,-0.131556,0.655784,0.180791,0.147732,-0.71794
quat,-4.97122,-10.9041,-0.102028,0.655707,0.182071,0.160476,-0.714945
quat,-4.99677,-10.9419,-0.0438589,0.658061,0.179255,0.176991,-0.709575
quat,-4.99611,-10.9851,-0.00858496,0.662829,0.17307,0.179048,-0.706149
quat,-5.00539,-11.0345,0.0201492,0.673702,0.166557,0.17036,-0.699544
quat,-5.00453,-11.0713,0.0443539,0.681586,0.164854,0.160811,-0.694553
quat,-5.00026,-11.1029,0.0740892,0.690901,0.167115,0.150967,-0.686977
quat,-4.99381,-11.1205,0.0967238,0.697487,0.171769,0.147788,-0.679828
quat,-4.98884,-11.1333,0.123103,0.703803,0.178743,0.151354,-0.670675
quat,-4.98964,-11.1417,0.139833,0.708473,0.183335,0.160379,-0.662369
quat,-4.99917,-11.1524,0.151955,0.714631,0.183927,0.17501,-0.651801
quat,-5.01265,-11.1715,0.15678,0.720109,0.179122,0.18455,-0.644437
quat,-5.13956,-11.3599,-0.0501644,0.764834,0.167328,0.232363,-0.577095
quat,-5.07504,-11.6368,-0.137214,0.801319,0.140411,0.167346,-0.556927
quat,-5.08473,-11.6862,-0.143542,0.805398,0.131078,0.169111,-0.55277
quat,-5.11916,-11.7449,-0.150401,0.809734,0.11962,0.190985,-0.541799
quat,-5.1377,-11.7722,-0.152073,0.813407,0.116911,0.208257,-0.530406
quat,-5.06374,-12.1434,-0.12003,0.874474,0.0987342,0.23681,-0.411666
quat,-5.05045,-12.1688,-0.126818,0.878394,0.0960145,0.240079,-0.401953
quat,-5.02332,-12.2039,-0.139802,0.884189,0.0934262,0.236419,-0.391903
quat,-4.74058,-12.6317,0.00452937,0.930656,0.0584775,0.225701,-0.281992
quat,-4.7271,-12.6538,0.00446606,0.93189,0.0564627,0.233733,-0.271592
quat,-4.70872,-12.6765,0.000679499,0.933102,0.0553127,0.239974,-0.262058
quat,-4.62808,-12.7348,-0.00897793,0.939347,0.0531653,0.233037,-0.245957
quat,-4.58267,-12.7611,-0.00998667,0.943549,0.0497653,0.223505,-0.239341
quat,-4.53934,-12.7899,-0.0107502,0.947767,0.04266,0.215467,-0.231282
quat,-4.50391,-12.8141,-0.0134488,0.950695,0.0347761,0.215019,-0.220763
quat,-4.07941,-12.9738,-0.0193163,0.966326,0.00826,0.223643,-0.127006
quat,-3.407,-12.8857,-0.0744006,0.975299,-0.0131511,0.218565,0.0291199
quat,-3.39132,-12.8793,-0.0803782,0.971415,-0.0143687,0.232636,0.0450335
quat,-3.25159,-12.8717,-0.109965,0.964882,-0.0195168,0.249233,0.0806476
quat,-3.19278,-12.8735,-0.117385,0.966767,-0.0244992,0.237514,0.0913686
quat,-3.08568,-12.8813,-0.128172,0.969378,-0.0400036,0.214732,0.112235
quat,-3.04533,-12.8842,-0.129207,0.968411,-0.0486568,0.210617,0.12431
quat,-3.01801,-12.8819,-0.125391,0.965788,-0.0544257,0.2136,0.136623
quat,-3.00138,-12.8746,-0.11886,0.962344,-0.0556384,0.221105,0.148023
quat,-2.98606,-12.8632,-0.11057,0.95827,-0.0524787,0.230732,0.160395
quat,-2.96853,-12.8517,-0.103684,0.954855,-0.0472914,0.237814,0.171638
quat,-2.9432,-12.8403,-0.0972149,0.952142,-0.0420231,0.241896,0.182062
quat,-2.90749,-12.8319,-0.0888875,0.950401,-0.0409386,0.242789,0.190042
quat,-2.52027,-12.6834,0.0989724,0.942191,-0.0819971,0.214436,0.244069
quat,-2.26987,-12.1953,0.0642958,0.921529,-0.0882685,0.226648,0.302693
quat,-2.26572,-12.1558,0.0486673,0.919991,-0.0836698,0.230258,0.305937
quat,-2.2576,-12.1192,0.0261285,0.91924,-0.0820067,0.232005,0.30732
quat,-2.24406,-12.0798,-0.00237889,0.919137,-0.0819797,0.232077,0.307583
quat,-2.17526,-11.9753,-0.0503579,0.921994,-0.0807583,0.224679,0.304836
quat,-1.99323,-11.7968,-0.132447,0.909175,-0.100996,0.210842,0.344596
quat,-1.9987,-11.788,-0.142195,0.904692,-0.0983305,0.217859,0.352704
quat,-1.87133,-11.046,0.160829,0.821401,-0.155892,0.19589,0.51247
quat,-1.85852,-10.9906,0.156842,0.821162,-0.158092,0.193531,0.513075
quat,-1.84778,-10.9338,0.150542,0.821237,-0.158312,0.190597,0.513985
quat,-1.84341,-10.8708,0.141012,0.820899,-0.154992,0.188403,0.516339
quat,-1.84809,-10.8024,0.12725,0.81988,-0.147712,0.18891,0.519895
quat,-1.85701,-10.7418,0.110715,0.818482,-0.139955,0.192272,0.523001
quat,-1.86435,-10.6879,0.0922506,0.817155,-0.134546,0.197456,0.524563
quat,-1.68281,-10.1941,-0.159674,0.818474,-0.139485,0.18964,0.5241
quat,-1.57463,-9.84761,-0.0212837,0.817564,-0.162775,0.196835,0.516091
quat,-1.57463,-9.84761,-0.0212837,0.817564,-0.162775,0.196835,0.516091
quat,-1.5985,-9.72468,0.00179649,0.814764,-0.153703,0.215592,0.515806
quat,-1.58712,-9.68964,0.0100335,0.815455,-0.156001,0.213008,0.515097
quat,-1.55701,-9.63033,0.027122,0.818412,-0.156388,0.203388,0.514177
quat,-1.53891,-9.58021,0.0419922,0.82058,-0.153326,0.195069,0.514866
quat,-1.14793,-0.837729,-0.116129,0.590334,0.208103,0.157581,-0.763784
quat,-1.41404,-1.00765,-0.19932,0.651789,0.194125,0.1662,-0.714048
quat,-1.60453,-1.58677,-0.0262282,0.632945,0.179472,0.136661,-0.740604
quat,-1.62095,-1.63686,0.0217649,0.633789,0.174213,0.12522,-0.743157
quat,-1.63401,-1.6754,0.0648478,0.632844,0.167581,0.115554,-0.747042
quat,-1.6586,-1.68767,0.0780534,0.631898,0.162519,0.114807,-0.749074
quat,-1.69848,-1.67763,0.0790231,0.630817,0.159605,0.127154,-0.748617
quat,-1.72583,-1.65707,0.101256,0.630464,0.16246,0.151437,-0.743767
quat,-1.75147,-1.61198,0.0916473,0.632473,0.171138,0.176209,-0.734602
quat,-1.73696,-1.61067,0.103115,0.632662,0.178872,0.178352,-0.732075
quat,-1.72426,-1.6022,0.0831348,0.634384,0.186894,0.172357,-0.730014
quat,-1.72428,-1.60268,0.0676865,0.63713,0.196773,0.164093,-0.726924
quat,-1.71867,-1.61053,0.0736181,0.639472,0.208328,0.158099,-0.722966
quat,-1.7245,-1.6139,0.0437176,0.643078,0.214184,0.154078,-0.718913
quat,-1.74258,-1.62573,0.0169289,0.646254,0.213896,0.154279,-0.716102
quat,-1.75437,-1.64026,-0.0149506,0.646792,0.205286,0.158379,-0.71724
quat,-1.79044,-1.81327,-0.259791,0.63722,0.222645,0.164421,-0.719267
quat,-2.17501,-2.26594,0.0137061,0.614553,0.154788,0.157211,-0.757397
quat,-2.21463,-2.28982,0.0454727,0.615255,0.138875,0.158153,-0.759712
quat,-2.22994,-2.2981,0.0673285,0.61803,0.136025,0.156808,-0.758253
quat,-2.25161,-2.42999,0.00148393,0.674435,0.155858,0.186883,-0.697079
